vendor_name,address_line1,city,state,postal_code,country,phone_number,email,industry,annual_revenue,last_updated
Vertex Solutions Networks,"6315 Market St, Phoenix, AZ 11718",Phoenix,AZ,11718,USA,-2351,vertex.solutions@vertexsolutions.com,Finance,51379856.74,29-01-2023
Crest Dynamics,"5276 Park Place, San Antonio, TX 10557",San Antonio,TX,10557,USA,-7743,crest.dynamics@crestdynamics.com,Finance,40588196.9,21-11-2024
Apex Co Ltd,"8026 Market Dr, San Diego, CA 61514",San Diego,CA,61514,USA,-10241,,Wholesale,51296319.83,08-01-2024
Summit Solutions,"4672 Pine Place, Dallas, TX 28700",Dallas,TX,28700,USA,-6398,summit.solutions@summitsolutions.com,Consulting,96193924.54,18-12-2024
Pioneer Inc,"198 Park Terrace, San Diego, CA 63836",San Diego,CA,63836,USA,-2595,pioneer.inc@pioneerinc.com,Logistics,8393350.91,10-05-2024
Synergy Holdings Holdings,"884 Cedar Blvd, Chicago, IL 80054",Chicago,IL,80054,USA,-8057,synergy.holdings@synergyholdings.com,Construction,82784378.09,18-08-2024
Gamma Global,"9576 Ridge Place, San Jose, CA 31152",San Jose,CA,31152,USA,-10317,,Consulting,30513312.88,23-11-2024
Silver Co Technologies,"6595 Elm Ave, Austin, TX 58884",Austin,TX,58884,USA,-4498,silver.co@silverco.com,Technology,62570124.04,16-09-2023
Evergreen Global,"4620 Maple Ave, Columbus, OH 36117",Columbus,OH,36117,USA,-5584,evergreen.global@evergreenglobal.com,Healthcare,29721750.57,08-10-2023
Evergreen Industries,"6136 North Terrace, Washington, DC 98938",Washington,DC,98938,USA,-6573,evergreen.industries@evergreenindustries.com,Manufacturing,22853042.84,28-07-2024
Delta nterprises,"2980 Hill Court, Houston, TX 53092",Houston,TX,53092,USA,-6825,delta.enterprises@deltaenterprises.com,Consulting,85143285.71,28-10-2023
Golden Dynamics Inc,"5065 Maple Dr, Columbus, OH 51759",Columbus,OH,51759,USA,-10716,golden.dynamics@goldendynamics.com,Hospitality,59558032.22,19-05-2023
Pioneer Corp,"2471 Washington Blvd, Chicago, IL 51419",Chicago,IL,51419,USA,-5893,pioneer.corp@pioneercorp.com,Construction,80904682.3,25-06-2024
Vanguard Industries,"5302 Valley Terrace, Houston, TX 24636",Houston,TX,24636,USA,-3241,vanguard.industries@vanguardindustries.com,Consulting,56583462.54,11-04-2023
Silver Global Technologies,"6294 Elm Way, Denver, CO 29352",Denver,CO,29352,USA,-10034,silver.global@silverglobal.com,Healthcare,71291295.6,17-09-2023
Apex Enterprises,"1495 Broadway Way, Houston, TX 99651",Houston,TX,99651,USA,-5641,,Hospitality,30066291.39,01-12-2023
Apex Solutions,"2844 Broadway Way, Jacksonville, FL 91401",Jacksonville,FL,91401,USA,-5343,apex.solutions@apexsolutions.com,Finance,77594051.54,27-04-2023
Nexus Holdings,"1792 Lake Blvd, Philadelphia, PA 82061",Philadelphia,PA,82061,USA,-2760,nexus.holdings@nexusholdings.com,Consulting,92303621.7,28-07-2024
Synery Corp,"9336 Sunset Rd, Jacksonville, FL 95945",Jacksonville,FL,95945,USA,-4592,synergy.corp@synergycorp.com,Hospitality,83678851.88,25-06-2023
Evergreen Dynamics,"810 Lake Ave, San Diego, CA 18183",San Diego,CA,18183,USA,-10638,evergreen.dynamics@evergreendynamics.com,Retail,72499692.59,29-06-2023
Summit Group Networks,"2607 Cedar Place, Chicago, IL 71977",Chicago,IL,71977,USA,-9273,summit.group@summitgroup.com,Consulting,28019051.77,10-05-2023
Omga LLC,"9444 North Rd, San Diego, CA 46977",San Diego,CA,46977,USA,-6266,omega.llc@omegallc.com,Manufacturing,60163463.48,17-05-2024
Synergy Ltd,"3859 West Ave, New York, NY 65751",New York,NY,65751,USA,-6109,,Wholesale,41985744.65,08-08-2023
Gamma Group,"2471 Hill Ln, Denver, CO 97079",Denver,CO,97079,USA,-11334,gamma.group@gammagroup.com,Healthcare,33581738.64,13-09-2024
Evergreen Networks,"3198 Park Ln, Fort Worth, TX 78674",Fort Worth,TX,78674,USA,-10451,,Logistics,9170912.28,24-03-2024
Zenith Sstems,"6196 South Blvd, San Diego, CA 54884",San Diego,CA,54884,USA,-7647,zenith.systems@zenithsystems.com,Retail,50070070.49,24-08-2024
Nexus Co Dynamics,"912 Center Dr, Jacksonville, FL 88859",Jacksonville,FL,88859,USA,-4929,nexus.co@nexusco.com,Retail,54576927.07,07-08-2023
Prime Group,"3074 East St, Houston, TX 25097",Houston,TX,25097,USA,-9757,prime.group@primegroup.com,Consulting,87475119.73,24-07-2023
Silver LLC,"4545 Oak Place, Los Angeles, CA 44756",Los Angeles,CA,44756,USA,-3741,,Hospitality,95213039.53,10-04-2023
Nexus Technologies,"1388 Main St, Columbus, OH 66660",Columbus,OH,66660,USA,-5333,nexus.technologies@nexustechnologies.com,Finance,41336274.03,05-06-2023
Prime Networs,"6030 Maple Ave, Charlotte, NC 83309",Charlotte,NC,83309,USA,-6419,prime.networks@primenetworks.com,Logistics,82340588.63,15-05-2023
Alpha Industries Global,"4013 Market Place, Jacksonville, FL 32915",Jacksonville,FL,32915,USA,-10926,alpha.industries@alphaindustries.com,Manufacturing,4513241.6,29-10-2023
Crest Ventures,"220 Sunset Ln, Chicago, IL 84603",Chicago,IL,84603,USA,-3699,crest.ventures@crestventures.com,Healthcare,52790251.28,17-05-2023
Quantum Enterrises,"860 Lake Ln, Houston, TX 18393",Houston,TX,18393,USA,-5320,,Hospitality,59687746.76,26-06-2024
Silver Global,"2691 Center Blvd, Austin, TX 71664",Austin,TX,71664,USA,-5954,,Retail,84480984.46,10-08-2024
Vertex Networs,"8470 East Place, Washington, DC 73396",Washington,DC,73396,USA,-7695,vertex.networks@vertexnetworks.com,Hospitality,76267251.66,11-02-2023
Atlas Technologies,"8711 Washington Ln, Charlotte, NC 69603",Charlotte,NC,69603,USA,-2695,atlas.technologies@atlastechnologies.com,Hospitality,71348930.48,25-12-2023
Evergreen Dynamics Industries,"1928 Center Place, Los Angeles, CA 80477",Los Angeles,CA,80477,USA,-6215,evergreen.dynamics@evergreendynamics.com,Construction,65582449.63,16-05-2024
BetaEnterprises,"1559 Broadway Way, San Antonio, TX 13282",San Antonio,TX,13282,USA,-4675,beta.enterprises@betaenterprises.com,Healthcare,26125588.83,05-09-2024
Evergreen Inc,"3655 Sunset Place, Dallas, TX 12778",Dallas,TX,12778,USA,-9574,,Consulting,80960701.69,19-06-2024
Silver Co,"5946 West Court, Dallas, TX 14592",Dallas,TX,14592,USA,-5585,silver.co@silverco.com,Consulting,70012312.07,28-05-2024
Quantum Technologies,"2965 Oak Blvd, Charlotte, NC 28659",Charlotte,NC,28659,USA,-10512,,Healthcare,53270079.76,13-05-2024
