record1_id,record2_id,levenshtein_score,score_type,source
1,2,0.9855,levenshtein_score,fuzzy_matcher
3,4,0.8519,levenshtein_score,fuzzy_matcher
7,8,1.0,levenshtein_score,fuzzy_matcher
9,10,1.0,levenshtein_score,fuzzy_matcher
11,12,1.0,levenshtein_score,fuzzy_matcher
13,14,1.0,levenshtein_score,fuzzy_matcher
17,18,1.0,levenshtein_score,fuzzy_matcher
29,30,1.0,levenshtein_score,fuzzy_matcher
33,34,1.0,levenshtein_score,fuzzy_matcher
39,40,1.0,levenshtein_score,fuzzy_matcher
43,44,1.0,levenshtein_score,fuzzy_matcher
47,48,0.8718,levenshtein_score,fuzzy_matcher
49,50,0.8718,levenshtein_score,fuzzy_matcher
51,52,0.8718,levenshtein_score,fuzzy_matcher
53,54,0.8718,levenshtein_score,fuzzy_matcher
55,56,0.8718,levenshtein_score,fuzzy_matcher
63,64,0.8718,levenshtein_score,fuzzy_matcher
65,66,0.8718,levenshtein_score,fuzzy_matcher
67,68,0.8718,levenshtein_score,fuzzy_matcher
71,72,0.8718,levenshtein_score,fuzzy_matcher
75,76,0.8718,levenshtein_score,fuzzy_matcher
77,78,0.8718,levenshtein_score,fuzzy_matcher
79,80,0.8718,levenshtein_score,fuzzy_matcher
83,84,0.8718,levenshtein_score,fuzzy_matcher
89,90,0.8718,levenshtein_score,fuzzy_matcher
91,92,0.8718,levenshtein_score,fuzzy_matcher
93,94,0.8718,levenshtein_score,fuzzy_matcher
101,102,0.8718,levenshtein_score,fuzzy_matcher
105,106,0.8718,levenshtein_score,fuzzy_matcher
107,108,0.8718,levenshtein_score,fuzzy_matcher
111,112,0.8718,levenshtein_score,fuzzy_matcher
115,116,0.8543,levenshtein_score,fuzzy_matcher
119,120,0.8718,levenshtein_score,fuzzy_matcher
131,132,0.8718,levenshtein_score,fuzzy_matcher
135,136,0.9855,levenshtein_score,fuzzy_matcher
139,140,0.8333,levenshtein_score,fuzzy_matcher
141,142,0.9855,levenshtein_score,fuzzy_matcher
143,144,0.9833,levenshtein_score,fuzzy_matcher
145,146,0.8813,levenshtein_score,fuzzy_matcher
147,148,0.881,levenshtein_score,fuzzy_matcher
157,158,0.9444,levenshtein_score,fuzzy_matcher
161,162,1.0,levenshtein_score,fuzzy_matcher
165,166,0.8959,levenshtein_score,fuzzy_matcher
169,170,1.0,levenshtein_score,fuzzy_matcher
173,174,1.0,levenshtein_score,fuzzy_matcher
175,176,0.8438,levenshtein_score,fuzzy_matcher
177,178,0.9412,levenshtein_score,fuzzy_matcher
179,181,0.8952,levenshtein_score,fuzzy_matcher
180,182,0.8952,levenshtein_score,fuzzy_matcher
184,823,0.8889,levenshtein_score,fuzzy_matcher
185,186,0.9298,levenshtein_score,fuzzy_matcher
187,188,1.0,levenshtein_score,fuzzy_matcher
189,190,1.0,levenshtein_score,fuzzy_matcher
191,192,1.0,levenshtein_score,fuzzy_matcher
193,194,1.0,levenshtein_score,fuzzy_matcher
195,196,0.9722,levenshtein_score,fuzzy_matcher
197,198,1.0,levenshtein_score,fuzzy_matcher
199,200,0.9123,levenshtein_score,fuzzy_matcher
201,202,1.0,levenshtein_score,fuzzy_matcher
203,204,0.9048,levenshtein_score,fuzzy_matcher
205,206,1.0,levenshtein_score,fuzzy_matcher
207,208,1.0,levenshtein_score,fuzzy_matcher
209,210,1.0,levenshtein_score,fuzzy_matcher
213,214,1.0,levenshtein_score,fuzzy_matcher
217,218,0.9412,levenshtein_score,fuzzy_matcher
219,220,1.0,levenshtein_score,fuzzy_matcher
223,224,1.0,levenshtein_score,fuzzy_matcher
776,782,0.844,levenshtein_score,fuzzy_matcher
