record1_id,record2_id,token_set_ratio_score,score_type,source
1,2,0.9926,token_set_ratio_score,fuzzy_matcher
3,4,0.9048,token_set_ratio_score,fuzzy_matcher
5,6,1.0,token_set_ratio_score,fuzzy_matcher
7,8,1.0,token_set_ratio_score,fuzzy_matcher
9,10,1.0,token_set_ratio_score,fuzzy_matcher
11,12,1.0,token_set_ratio_score,fuzzy_matcher
13,14,1.0,token_set_ratio_score,fuzzy_matcher
15,16,1.0,token_set_ratio_score,fuzzy_matcher
17,18,1.0,token_set_ratio_score,fuzzy_matcher
21,22,0.8667,token_set_ratio_score,fuzzy_matcher
25,26,1.0,token_set_ratio_score,fuzzy_matcher
27,28,0.8667,token_set_ratio_score,fuzzy_matcher
29,30,1.0,token_set_ratio_score,fuzzy_matcher
33,34,1.0,token_set_ratio_score,fuzzy_matcher
39,40,1.0,token_set_ratio_score,fuzzy_matcher
43,44,1.0,token_set_ratio_score,fuzzy_matcher
47,48,1.0,token_set_ratio_score,fuzzy_matcher
49,50,1.0,token_set_ratio_score,fuzzy_matcher
51,52,1.0,token_set_ratio_score,fuzzy_matcher
53,54,1.0,token_set_ratio_score,fuzzy_matcher
55,56,1.0,token_set_ratio_score,fuzzy_matcher
57,58,1.0,token_set_ratio_score,fuzzy_matcher
59,60,0.8889,token_set_ratio_score,fuzzy_matcher
61,62,1.0,token_set_ratio_score,fuzzy_matcher
63,64,1.0,token_set_ratio_score,fuzzy_matcher
65,66,1.0,token_set_ratio_score,fuzzy_matcher
67,68,1.0,token_set_ratio_score,fuzzy_matcher
69,70,1.0,token_set_ratio_score,fuzzy_matcher
71,72,1.0,token_set_ratio_score,fuzzy_matcher
73,74,1.0,token_set_ratio_score,fuzzy_matcher
75,76,1.0,token_set_ratio_score,fuzzy_matcher
77,78,1.0,token_set_ratio_score,fuzzy_matcher
79,80,1.0,token_set_ratio_score,fuzzy_matcher
81,82,1.0,token_set_ratio_score,fuzzy_matcher
83,84,1.0,token_set_ratio_score,fuzzy_matcher
87,88,1.0,token_set_ratio_score,fuzzy_matcher
89,90,1.0,token_set_ratio_score,fuzzy_matcher
91,92,1.0,token_set_ratio_score,fuzzy_matcher
93,94,1.0,token_set_ratio_score,fuzzy_matcher
95,96,0.9091,token_set_ratio_score,fuzzy_matcher
97,98,1.0,token_set_ratio_score,fuzzy_matcher
